Algorithm,MAPE Train,MAPE Test,MAE Train,MAE Test,MSE Train,MSE Test,RMSE Train,RMSE Test
Linear Regression,0.03,0.03,0.51,2.46,0.65,12.14,0.81,3.48
Bayesian Ridge,0.03,0.03,0.51,2.46,0.65,12.12,0.81,3.48
Support Vector Machine,0.03,0.03,0.56,2.64,0.74,13.44,0.86,3.67
Gradient Boosting Machine,0.02,0.3,0.4,34.77,0.34,2103.52,0.58,45.86
Category Boosting,0.02,0.3,0.41,35.14,0.42,2136.14,0.65,46.22
Light Gradient Boosting Machine,0.02,0.3,0.32,35.27,0.2,2147.07,0.45,46.34
Random Forest,0.01,0.3,0.16,35.37,0.06,2158.69,0.24,46.46
Decision Tree,0.0,0.31,0.0,35.41,0.0,2151.21,0.0,46.38
Extreme Gradient Boosting Machine,0.01,0.31,0.13,35.51,0.03,2168.27,0.17,46.56
K Nearest Neighbors,0.02,0.31,0.41,35.57,0.4,2162.82,0.63,46.51
Adaptive Boosting,0.07,0.31,0.96,35.78,1.53,2192.46,1.24,46.82
Baseline,0.81,0.74,12.48,72.58,222.76,6228.75,14.93,78.92
